숙소명,시군구명,질문1,질문2,질문3,질문4,질문5
설악썬밸리,고성군,"바다를 좋아하시는 아버지와 함께 가려고 하는데, 해변까지 접근성이 좋은 숙소가 있을까요?","낙산사에 가보고 싶은데, 그쪽과 가까운 숙소 중에 편의시설이 잘 갖춰진 곳이 있을까요?","휠체어를 사용하시는 어머니와 여행할 예정인데, 엘리베이터가 있는 숙소를 추천받을 수 있을까요?","장애가 있으신 부모님과 함께 머물 수 있는, 장애인 편의시설이 잘 마련된 숙소가 있을까요?","이동에 제약이 있으신 부모님을 모시고 가려는데, 숙소 내에서 인터넷 사용이 가능한 곳이 있을까요?"
금강산콘도,고성군,해양 박물관을 쉽게 방문할 수 있는 숙소가 있나요?,화진포 해변까지 걸어서 갈 수 있는 숙소가 있을까요?,설악산 국립공원에 가기 편리한 위치에 있는 숙소를 추천해 주세요,"속초 해변에서 여유롭게 시간을 보내고 싶은데, 가까운 숙소가 있을까요?",차로 이동하기 편리한 위치에 있는 숙소를 알고 싶어요
고성 아야진스테이,고성군,아야진 근처에서 조용히 머물 수 있는 숙소가 있을까요? 부모님께서 한적한 분위기를 좋아하셔서요,"부모님께서 바닷가 산책을 즐기시는데, 가까운 거리에서 바다를 쉽게 접근할 수 있는 숙소가 있나요?","차 없이도 갈 수 있는 동해안 근처 숙소를 찾고 있는데, 대중교통으로 접근하기 편리한 곳이 있을까요?",부모님께서 식사 후에 여유롭게 바다를 볼 수 있는 다이닝 공간이 있는 숙소를 찾고 있어요,고령자분들이 계단 없이 쉽게 바다를 감상할 수 있는 숙소가 있을까요? 엘리베이터가 잘 갖춰져 있는지도 궁금합니다
이랜드파크 켄싱턴 리조트 설악밸리,고성군,설악산 국립공원 근처에 위치한 숙소가 있을까요? 부모님과 함께 편하게 이동하고 싶습니다,"속초해변에서 차로 가까운 거리에 있는 숙소를 찾고 있는데, 추천해주실 만한 곳이 있을까요?",휠체어를 사용하는 가족과 함께 묵을 수 있는 엘리베이터가 있는 숙소가 있나요?,반려동물을 동반해서 갈 수 있는 숙소가 있을까요? 반려견과 함께 여행하려고 합니다,"계단으로 이동하는 것이 힘든데, 지상층에 위치한 숙소를 추천받을 수 있을까요?"
이랜드파크 켄싱턴 리조트 설악비치,고성군,설악산과 동해를 동시에 감상할 수 있는 숙소가 있을까요?,낙산사에서 차로 30분 이내에 있는 숙소를 추천해 주실 수 있나요?,휠체어를 사용하는 가족이 있어서 휠체어로 이동 가능한 숙소가 필요해요. 그런 곳이 있을까요?,"부모님께서 장애인 주차장이 있는 숙소를 선호하시는데, 그런 곳을 추천해 주실 수 있나요?","다국어를 구사하는 직원이 있는 숙소가 있으면 좋겠는데, 그런 곳이 있을까요?"
오션투유리조트,고성군,"속초해수욕장을 방문할 계획인데, 근처에 이동이 편리한 숙소가 있을까요?","아바이마을과 속초중앙시장을 둘러보고 싶은데, 그 주변에 위치한 숙소가 있나요?",휠체어를 사용하는 할아버지와 함께 머물기에 적합한 장애인 편의시설이 갖춰진 숙소가 있을까요?,"반려동물을 데리고 여행할 예정인데, 요청 시 반려동물 동반이 가능한 숙소가 있나요?",엘리베이터가 있어 층간 이동이 편리한 숙소가 있을까요?
고성 롱비치275,고성군,"부모님이 전통 시장 구경을 좋아하시는데, 근처에 시장이 있는 숙소가 있을까요?","휠체어를 사용하는 분이 계셔서, 지하철역과 가까운 숙소가 필요해요. 어떤 곳이 좋을까요?",도보로 이동하기 쉬운 거리에 유명한 박물관이나 미술관이 있는 숙소를 추천해줄 수 있나요?,"부모님이 조용한 환경을 선호하셔서, 공원이나 녹지가 가까운 숙소를 찾고 있어요",대중교통 이용이 편리한 숙소가 필요해요. 주요 버스 정류장이나 터미널과 가까운 곳이 있을까요?
파인 리즈 리조트,고성군,"부모님과 함께 조용히 자연을 즐기고 싶은데, 근처에 산책할 만한 숲이나 공원이 있는 숙소가 있나요?","아바이마을에서 전통 음식을 체험하고 싶은데, 차로 30분 이내에 갈 수 있는 숙소가 있을까요?","어머님이 시장 구경을 좋아하시는데, 속초중앙시장에 접근하기 편리한 숙소를 추천해 주세요","낙산사를 방문할 계획이니, 차로 40분 거리 내에 위치한 숙소 중에서 추천해 줄 수 있나요?","대중교통을 이용할 예정이라, 속초고속버스터미널에서 접근하기 쉬운 숙소가 궁금합니다"
아이파크콘도,고성군,설악의 멋진 경치를 감상할 수 있는 숙소가 있을까요?,미시령과 동해가 잘 보이는 전망 좋은 숙소를 찾고 있어요. 추천해주실만한 곳이 있을까요?,"휠체어를 사용하는 부모님과 함께 갈 계획인데, 장애인 주차장이 있는 숙소가 있을까요?","저희 아버지가 거동이 불편하신데, 경사로가 잘 되어 있는 숙소가 있을까요?","어머니가 휠체어를 사용하셔서, 장애인 전용 화장실이 마련된 숙소를 찾고 있어요. 추천 부탁드립니다"
까사델아야,고성군,"고령의 부모님과 함께 가려는데, 동해안 풍경을 쉽게 감상할 수 있는 숙소가 있나요?","근처에 병원이 잘 갖춰져 있는 숙소가 어디인지 알고 싶어요, 혹시 추천해주실 수 있나요?","바다 전망을 즐기며 조용히 쉴 수 있는 곳을 찾고 있는데, 주변이 조용한 숙소가 있을까요?","전복죽 조식을 제공하는 곳이라면, 근처에 신선한 해산물을 구매할 수 있는 시장이 있는지 궁금해요","부모님께서 비상시에 대비해 약국이 가까운 숙소를 선호하시는데, 그런 위치의 숙소가 있나요?"
스테이가진,고성군,해변을 산책하기에 좋은 곳이 근처에 있나요?,"고령의 부모님을 모시고 가려는데, 도로를 건너기 편리한 숙소가 있을까요?",동해 일출을 감상하기 좋은 위치의 숙소가 있나요?,물놀이를 좋아하시는 부모님을 위해 가까운 바다를 쉽게 접근할 수 있는 숙소가 있을까요?,파도 소리를 들으며 잠들기 좋은 조용한 해변 근처 숙소가 있을까요?
레이크오션,고성군,"부모님께서 호수 산책을 좋아하시는데, 근처에 호수를 감상할 수 있는 숙소가 있나요?","대중교통을 이용해야 하는데, 속초 고속버스터미널에서 쉽게 접근할 수 있는 숙소가 있을까요?","아버지가 골프를 즐기시는데, 가까이에 골프장이 있는 숙소를 추천해줄 수 있나요?","숙소에서 바비큐를 즐기고 싶은데, 근처에 바비큐 시설이 잘 마련된 곳이 있을까요?","속초 카페거리를 둘러보고 싶은데, 그 주변에 편리한 숙소가 있나요?"
숲속의 정원,고성군,숲속의 정원이 포함된 숙소 주변에 자연을 느낄 수 있는 산책로가 잘 마련되어 있나요?,"부모님께서 조용한 환경을 좋아하시는데, 이곳 주변이 한적하고 소음이 적은 편인가요?","저희 가족이 함께 쉴 수 있는 공기 좋은 곳을 찾고 있는데, 이 지역의 공기 질은 어떤가요?",반려견과 함께 산책할 수 있는 안전한 공간이 숙소 근처에 충분히 마련되어 있나요?,"대중교통을 이용할 계획인데, 숙소에서 가까운 버스 정류장이나 기차역이 있나요?"
르네블루바이워커힐,고성군,"송지호 해변이 가까운 숙소를 찾고 있는데, 바다를 가까이에서 즐길 수 있는 곳이 있나요?",고성군 죽왕면에 있는 숙소 중에 해변을 산책하기 좋은 곳이 있을까요?,밤에 아름다운 조명을 즐길 수 있는 루프탑 공간이 있는 숙소가 있나요?,가족과 함께 바다 전망을 즐기면서 식사할 수 있는 레스토랑이 있는 숙소를 추천해 주세요,숙소 주변에 조용하고 자연을 느낄 수 있는 대나무 숲이나 공원이 있나요?
선샤인비치,고성군,해변까지 걸어서 갈 수 있는 숙소가 있을까요? 부모님과 함께 해변 산책을 하고 싶습니다,고성 화암사와 가까운 숙소가 있나요? 부모님께서 절을 방문하시길 원하십니다,대포항 근처에 숙소가 있으면 좋겠어요. 부모님께서 신선한 해산물을 드시고 싶어 하십니다,설악산을 쉽게 방문할 수 있는 숙소가 있을까요? 부모님이 자연을 즐기실 수 있는 곳을 찾고 있습니다,낙산사 방문이 편리한 숙소가 있나요? 부모님께서 사찰 관광을 좋아하십니다
설악의정원,고성군,설악산의 경치를 감상할 수 있는 숙소가 근처에 있나요?,계곡 근처에서 산책할 수 있는 장소가 있는 숙소를 추천해 주세요,반려견과 함께 산책하기 좋은 공원이 가까운 숙소가 있나요?,설악산 등산로에 접근하기 쉬운 숙소를 찾고 있어요,자연을 즐기면서 휴식을 취할 수 있는 조용한 숙소가 주변에 있나요?
서로재,고성군,근처에 자연을 느끼며 산책할 수 있는 공원이나 산책로가 있는 숙소가 있을까요?,주변에 새소리나 자연의 소리를 들을 수 있는 조용한 환경의 숙소를 추천해 주세요,소나무 숲이 근처에 있어 피톤치드를 즐길 수 있는 숙소가 있나요?,이슬이 맺힌 풀밭을 아침에 산책할 수 있는 숙소가 주변에 있을까요?,푸르른 이끼 정원을 감상할 수 있는 숙소가 근처에 있는지 알고 싶어요
g2002,고성군,"부모님이 조용한 해변을 좋아하시는데, 고성에 있는 숙소 중에서 접근성이 좋은 곳이 있나요?","낚시를 즐기시는 아버지를 위해, 고성 근처에 낚시하기 좋은 숙소가 있을까요?","어머니께서 바다를 보며 여유로운 시간을 보내고 싶어 하시는데, 고성에서 오션뷰를 감상할 수 있는 숙소가 있나요?",강원도 고성에서 다양한 해양 활동을 즐길 수 있는 숙소를 추천받고 싶어요,"해변까지 걸어가기 편리한 위치에 있는 숙소를 찾고 있는데, 고성에 그런 곳이 있을까요?"
청간정콘도,고성군,동해 바다를 바로 앞에서 볼 수 있는 숙소가 있을까요?,설악산을 쉽게 갈 수 있는 위치에 있는 숙소를 추천해줄 수 있나요?,근처에 데크길이 잘 되어 있어 산책하기 좋은 숙소가 있나요?,속초 시내와 가까운 숙소가 있으면 알려주세요,고성 지역까지 걸어갈 수 있는 경치 좋은 길이 있는 숙소가 있을까요?
뉴동해관광호텔,동해시,"휠체어를 사용하는 가족과 함께 여행할 예정인데, 주 출입구에 계단이 없는 숙소가 있을까요?",동해 시외버스터미널 근처에 있는 숙소 중에서 고령자나 장애인을 위한 편의시설이 잘 갖춰진 곳이 있나요?,숙소에 시각 경보기가 설치되어 있는지 궁금해요. 시각 장애가 있는 어머니와 함께 머물 예정입니다,추암 촛대바위나 추암 출렁다리 근처에 위치한 숙소 중에서 교통이 편리한 곳이 있을까요?,"천곡 황금박쥐 동굴을 방문할 계획인데, 그 주변에 고령자에게 적합한 숙소가 있을까요?"
동해현진관광호텔㈜,동해시,동해공영버스터미널 근처에 교통이 편리하고 편의시설이 잘 갖춰진 숙소가 있을까요?,묵호항과 가까워서 주변 관광을 즐기기 좋은 숙소가 있을까요?,휠체어를 이용하시는 부모님과 함께 머물 수 있는 계단 없는 출입구가 있는 숙소가 있을까요?,시각 장애가 있는 가족과 함께 머물기에 점자 안내판이 잘 마련된 숙소가 있을까요?,"장애인 지원 객실이 있는 숙소를 찾고 있는데, 그런 곳이 있을까요?"
동해글로리아 관광호텔,동해시,"동해 지역에서 휠체어 이용이 가능한 숙소를 찾고 있는데, 엘리베이터가 있는 곳이 있을까요?","부모님과 함께 동해 여행을 계획 중인데, 엘리베이터로 쉽게 이동할 수 있는 편리한 숙소가 있을까요?",동해에 있는 숙소 중에 층간 이동이 편리한 엘리베이터 시설이 갖춰진 곳이 있나요?,"동해에 숙소를 예약하려고 하는데, 주변에 관광이나 산책하기 좋은 장소가 있는 곳이 어디일까요?",동해에서 숙박하면서 비즈니스 업무도 가능하도록 편의시설이 잘 갖춰진 숙소가 있을까요?
㈜동해보양온천 컨벤션호텔,동해시,묵호항과 가까운 숙소가 있을까요? 부모님이 항구를 좋아하셔서요,망상해수욕장에서 도보로 갈 수 있는 거리에 있는 숙소가 있을까요? 부모님과 함께 해변을 산책하고 싶습니다,"저희 할아버지께서 휠체어를 사용하시는데, 엘리베이터가 있는 숙소가 있나요?","부모님께서 계단 이용이 어려우신데, 엘리베이터로 객실까지 이동할 수 있는 숙소가 있을까요?",금연 객실을 선호하시는 부모님과 함께 머물 수 있는 숙소가 있을까요?
